Vehicle_ID,Entry_Frame,Exit_Frame,Max_Speed,Avg_Speed,Status
1309,4542,4620,44.08,29.104814814814816,Normal
1310,4545,4602,27.77,21.5185,Normal
1312,4566,4581,7.2,4.680000000000001,Normal
1351,4641,4659,13.35,9.172857142857142,Normal
1361,4659,4698,18.0,11.926923076923078,Normal
1365,4665,4665,0.0,0.0,Normal
1366,4665,4752,95.32,54.18533333333333,Overspeeding
1371,4671,4710,21.42,17.335,Normal
1378,4677,4680,17.07,8.535,Normal
1380,4680,4692,17.54,12.32,Normal
1402,4710,4854,33.19,21.711904761904762,Normal
1424,4758,4824,31.71,21.491052631578945,Normal
1426,4761,4791,177.59,125.39181818181818,Overspeeding
1435,4788,4791,31.48,15.74,Normal
1444,4803,4923,52.12,27.63073170731707,Normal
1451,4821,4830,24.31,13.9525,Normal
1476,4851,4998,37.1,19.8274,Normal
1479,4851,4851,0.0,0.0,Normal
1496,4887,4965,36.04,26.46851851851852,Normal
1507,4908,5019,68.86,39.60324324324324,Overspeeding
1510,4911,4911,0.0,0.0,Normal
1516,4917,4920,5.4,2.7,Normal
1522,4935,4968,104.03,86.585,Overspeeding
1531,4953,5154,69.15,22.26225806451613,Overspeeding
1534,4962,4971,25.2,16.03,Normal
1535,4965,5151,76.63,44.08693548387097,Overspeeding
1541,5034,5040,57.4,28.7,Normal
1542,5049,5061,50.22,36.4075,Normal
1543,5058,5196,83.2,38.64234042553191,Overspeeding
1554,5073,5073,0.0,0.0,Normal
1570,5139,5142,16.2,8.1,Normal
1600,5205,5250,31.93,26.174375,Normal
1628,5268,5430,10.88,7.1632727272727275,Normal
1630,5268,5268,0.0,0.0,Normal
1637,5277,5349,10.61,8.5176,Normal
1656,5295,5382,46.13,31.346666666666668,Normal
1665,5310,5538,85.35,30.234927536231886,Overspeeding
1668,5337,5358,32.03,24.46,Normal
1669,5343,5352,29.7,18.675,Normal
1675,5391,5406,3.6,1.4100000000000001,Normal
1683,5403,5622,148.51,41.99521739130435,Overspeeding
1687,5409,5466,130.72,65.15388888888889,Overspeeding
1688,5415,5472,33.36,26.767000000000003,Normal
1698,5448,5505,24.54,18.944,Normal
1736,5541,5565,18.23,13.01125,Normal
1737,5541,5541,0.0,0.0,Normal
1756,5589,5652,68.19,42.68954545454545,Overspeeding
1761,5601,5685,14.74,8.138620689655173,Normal
1770,5652,5805,123.66,49.63480769230769,Overspeeding
1804,5751,6039,8.64,5.321898734177215,Normal
1829,5835,5835,0.0,0.0,Normal
1854,5976,5997,22.26,16.58875,Normal
1867,6057,6159,35.92,21.761714285714284,Normal
1885,6225,6252,6.48,1.842,Normal
1887,6234,6234,0.0,0.0,Normal
1899,6255,6354,31.79,25.030370370370374,Normal
1930,6342,6363,9.77,6.84375,Normal
1932,6363,6522,151.27,55.28685185185185,Overspeeding
1939,6372,6417,15.44,6.470769230769231,Normal
1952,6399,6402,41.12,20.56,Normal
1956,6402,6492,46.11,30.3141935483871,Normal
1963,6417,6468,71.07,56.044444444444444,Overspeeding
1982,6465,6573,25.86,17.837027027027027,Normal
1985,6477,6480,12.07,6.035,Normal
1993,6498,6645,193.96,68.153,Overspeeding
2019,6591,6738,14.36,9.07375,Normal
2049,6747,6753,50.69,27.843333333333334,Normal
2071,6786,6912,34.56,19.460697674418604,Normal
2075,6789,6987,236.66,57.588196721311476,Overspeeding
2087,6804,6873,35.92,27.051304347826086,Normal
2089,6816,7110,59.98,24.526271186440677,Normal
2090,6831,6831,0.0,0.0,Normal
2100,6867,6984,51.84,25.274102564102567,Normal
2119,6936,6936,0.0,0.0,Normal
2123,7005,7008,34.15,17.075,Normal
2124,7005,7011,14.4,6.6000000000000005,Normal
2132,7029,7137,59.79,32.2654054054054,Normal
2133,7029,7059,10.61,8.678181818181818,Normal
2135,7047,7227,140.74,46.76131147540984,Overspeeding
2140,7128,7158,186.11,152.73,Overspeeding
2144,7158,7362,84.92,30.607246376811595,Overspeeding
2157,7221,7266,20.27,16.347857142857144,Normal
2168,7323,7476,123.24,59.114038461538456,Overspeeding
2178,7383,7566,154.42,47.844193548387096,Overspeeding
2182,7416,7419,5.4,2.7,Normal
2195,7464,7527,30.99,24.747,Normal
2197,7470,7560,195.55,100.67193548387097,Overspeeding
2203,7554,7962,115.35,27.84621212121212,Overspeeding
2205,7566,7614,17.88,13.354285714285714,Normal
2207,7623,7626,38.94,19.47,Normal
2210,7629,7647,6.81,4.267142857142857,Normal
2224,7671,7722,116.27,67.26333333333334,Overspeeding
2227,7674,7875,115.93,30.14703125,Overspeeding
2248,7710,7710,0.0,0.0,Normal
2249,7713,7815,29.29,19.539428571428573,Normal
2254,7719,7740,56.53,41.707499999999996,Normal
